Time (s),Target Pitch (deg),Actual Pitch (deg),Error (deg),Control (deg)
0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.012566,0.000000,0.012566,2.519470
0.002000,0.025133,0.000002,0.025131,2.525509
0.003000,0.037699,0.000005,0.037694,2.531437
0.004000,0.050265,0.000011,0.050254,2.537248
0.005000,0.062831,0.000020,0.062812,2.542937
0.006000,0.075398,0.000032,0.075366,2.548503
0.007000,0.087963,0.000048,0.087915,2.553945
0.008000,0.100529,0.000069,0.100460,2.559261
0.009000,0.113095,0.000095,0.113000,2.564450
0.010000,0.125660,0.000127,0.125533,2.569511
0.011000,0.138226,0.000166,0.138060,2.574443
0.012000,0.150791,0.000212,0.150579,2.579246
0.013000,0.163356,0.000265,0.163090,2.583921
0.014000,0.175920,0.000327,0.175593,2.588465
0.015000,0.188484,0.000398,0.188087,2.592880
0.016000,0.201048,0.000478,0.200570,2.597163
0.017000,0.213612,0.000569,0.213043,2.601318
0.018000,0.226175,0.000670,0.225505,2.605335
0.019000,0.238738,0.000783,0.237955,2.609229
0.020000,0.251301,0.000908,0.250393,2.612985
0.021000,0.263863,0.001046,0.262817,2.616610
0.022000,0.276425,0.001197,0.275228,2.620112
0.023000,0.288986,0.001362,0.287625,2.623463
0.024000,0.301547,0.001541,0.300006,2.626703
0.025000,0.314108,0.001735,0.312372,2.629797
0.026000,0.326668,0.001945,0.324722,2.632759
0.027000,0.339227,0.002172,0.337055,2.635592
0.028000,0.351786,0.002415,0.349370,2.638288
0.029000,0.364344,0.002676,0.361668,2.640846
0.030000,0.376902,0.002955,0.373946,2.643291
0.031000,0.389459,0.003253,0.386206,2.645591
0.032000,0.402015,0.003570,0.398445,2.647747
0.033000,0.414571,0.003907,0.410664,2.649788
0.034000,0.427127,0.004265,0.422862,2.651702
0.035000,0.439681,0.004644,0.435037,2.653439
0.036000,0.452235,0.005045,0.447190,2.655079
0.037000,0.464788,0.005467,0.459321,2.656593
0.038000,0.477341,0.005913,0.471427,2.657962
0.039000,0.489892,0.006383,0.483510,2.659193
0.040000,0.502443,0.006876,0.495567,2.660290
0.041000,0.514993,0.007394,0.507599,2.661254
0.042000,0.527543,0.007938,0.519605,2.662088
0.043000,0.540091,0.008507,0.531584,2.662806
0.044000,0.552639,0.009103,0.543536,2.663407
0.045000,0.565185,0.009725,0.555460,2.663802
0.046000,0.577731,0.010376,0.567355,2.664077
0.047000,0.590276,0.011054,0.579222,2.664312
0.048000,0.602820,0.011762,0.591058,2.664346
0.049000,0.615363,0.012499,0.602865,2.664184
0.050000,0.627905,0.013265,0.614641,2.664085
0.051000,0.640446,0.014062,0.626384,2.663595
0.052000,0.652986,0.014890,0.638097,2.663244
0.053000,0.665525,0.015750,0.649776,2.662483
0.054000,0.678063,0.016641,0.661423,2.661892
0.055000,0.690600,0.017566,0.673035,2.660843
0.056000,0.703136,0.018523,0.684613,2.659983
0.057000,0.715671,0.019514,0.696156,2.658805
0.058000,0.728204,0.020540,0.707664,2.657427
0.059000,0.740737,0.021601,0.719136,2.656192
0.060000,0.753268,0.022697,0.730571,2.654621
0.061000,0.765798,0.023829,0.741969,2.652819
0.062000,0.778327,0.024998,0.753329,2.651162
0.063000,0.790855,0.026203,0.764652,2.649307
0.064000,0.803381,0.027446,0.775935,2.647223
0.065000,0.815906,0.028727,0.787179,2.644944
0.066000,0.828430,0.030048,0.798382,2.642636
0.067000,0.840952,0.031406,0.809546,2.640298
0.068000,0.853474,0.032805,0.820669,2.637785
0.069000,0.865993,0.034243,0.831750,2.635113
0.070000,0.878512,0.035723,0.842789,2.632299
0.071000,0.891029,0.037243,0.853786,2.629353
0.072000,0.903545,0.038805,0.864739,2.626283
0.073000,0.916059,0.040410,0.875649,2.623092
0.074000,0.928572,0.042057,0.886515,2.619784
0.075000,0.941083,0.043747,0.897336,2.616357
0.076000,0.953593,0.045481,0.908112,2.612808
0.077000,0.966101,0.047260,0.918842,2.609142
0.078000,0.978608,0.049082,0.929526,2.605430
0.079000,0.991113,0.050948,0.940165,2.601674
0.080000,1.003617,0.052860,0.950758,2.597874
0.081000,1.016119,0.054815,0.961304,2.594030
0.082000,1.028620,0.056815,0.971805,2.590142
0.083000,1.041119,0.058860,0.982259,2.586211
0.084000,1.053616,0.060949,0.992667,2.582236
0.085000,1.066112,0.063084,1.003028,2.578217
0.086000,1.078605,0.065263,1.013343,2.574155
0.087000,1.091098,0.067487,1.023611,2.570050
0.088000,1.103588,0.069756,1.033832,2.565902
0.089000,1.116077,0.072071,1.044006,2.561711
0.090000,1.128564,0.074431,1.054133,2.557476
0.091000,1.141049,0.076836,1.064213,2.553199
0.092000,1.153532,0.079286,1.074246,2.548880
0.093000,1.166014,0.081782,1.084232,2.544518
0.094000,1.178494,0.084324,1.094170,2.540113
0.095000,1.190972,0.086911,1.104060,2.535666
0.096000,1.203448,0.089544,1.113904,2.531177
0.097000,1.215922,0.092223,1.123699,2.526646
0.098000,1.228394,0.094947,1.133446,2.522073
0.099000,1.240864,0.097718,1.143146,2.517458
0.100000,1.253332,0.100535,1.152798,2.512801
0.101000,1.265799,0.103397,1.162401,2.508103
0.102000,1.278263,0.106306,1.171957,2.503363
0.103000,1.290725,0.109262,1.181464,2.498582
0.104000,1.303185,0.112263,1.190922,2.493760
0.105000,1.315644,0.115311,1.200333,2.488897
0.106000,1.328100,0.118405,1.209695,2.483992
0.107000,1.340554,0.121546,1.219008,2.479047
0.108000,1.353006,0.124733,1.228272,2.474062
0.109000,1.365455,0.127967,1.237488,2.469035
0.110000,1.377903,0.131248,1.246655,2.463968
0.111000,1.390348,0.134576,1.255773,2.458861
0.112000,1.402792,0.137950,1.264841,2.453714
0.113000,1.415233,0.141372,1.273861,2.448527
0.114000,1.427671,0.144840,1.282832,2.443299
0.115000,1.440108,0.148355,1.291753,2.438032
0.116000,1.452542,0.151918,1.300625,2.432725
0.117000,1.464974,0.155527,1.309447,2.427379
0.118000,1.477404,0.159184,1.318220,2.421993
0.119000,1.489831,0.162888,1.326943,2.416568
0.120000,1.502256,0.166639,1.335617,2.411104
0.121000,1.514678,0.170438,1.344241,2.405601
0.122000,1.527099,0.174284,1.352815,2.400059
0.123000,1.539516,0.178178,1.361339,2.394478
0.124000,1.551932,0.182119,1.369813,2.388859
0.125000,1.564345,0.186108,1.378237,2.383201
0.126000,1.576755,0.190144,1.386611,2.377505
0.127000,1.589163,0.194228,1.394935,2.371770
0.128000,1.601568,0.198360,1.403208,2.365998
0.129000,1.613971,0.202540,1.411432,2.360187
0.130000,1.626372,0.206767,1.419605,2.354339
0.131000,1.638769,0.211042,1.427727,2.348453
0.132000,1.651165,0.215366,1.435799,2.342530
0.133000,1.663557,0.219737,1.443820,2.336569
0.134000,1.675947,0.224156,1.451791,2.330571
0.135000,1.688334,0.228623,1.459711,2.324536
0.136000,1.700719,0.233139,1.467580,2.318464
0.137000,1.713101,0.237702,1.475399,2.312355
0.138000,1.725480,0.242314,1.483166,2.306209
0.139000,1.737857,0.246974,1.490883,2.300027
0.140000,1.750231,0.251682,1.498548,2.293809
0.141000,1.762602,0.256439,1.506163,2.287554
0.142000,1.774970,0.261244,1.513726,2.281263
0.143000,1.787335,0.266097,1.521238,2.274936
0.144000,1.799698,0.270998,1.528699,2.268573
0.145000,1.812058,0.275949,1.536109,2.262175
0.146000,1.824415,0.280947,1.543467,2.255741
0.147000,1.836769,0.285994,1.550774,2.249271
0.148000,1.849120,0.291090,1.558030,2.242767
0.149000,1.861468,0.296234,1.565234,2.236227
0.150000,1.873813,0.301427,1.572386,2.229652
0.151000,1.886155,0.306668,1.579487,2.223043
0.152000,1.898495,0.311958,1.586537,2.216399
0.153000,1.910831,0.317297,1.593534,2.209720
0.154000,1.923164,0.322684,1.600480,2.203007
0.155000,1.935495,0.328121,1.607374,2.196259
0.156000,1.947822,0.333605,1.614216,2.189478
0.157000,1.960146,0.339139,1.621007,2.182662
0.158000,1.972467,0.344722,1.627745,2.175813
0.159000,1.984785,0.350353,1.634432,2.168930
0.160000,1.997100,0.356033,1.641066,2.162014
0.161000,2.009411,0.361763,1.647649,2.155064
0.162000,2.021720,0.367541,1.654179,2.148082
0.163000,2.034025,0.373367,1.660658,2.141066
0.164000,2.046327,0.379243,1.667084,2.134017
0.165000,2.058626,0.385168,1.673458,2.126935
0.166000,2.070922,0.391142,1.679780,2.119821
0.167000,2.083214,0.397165,1.686049,2.112675
0.168000,2.095503,0.403236,1.692267,2.105496
0.169000,2.107789,0.409357,1.698432,2.098285
0.170000,2.120071,0.415527,1.704544,2.091042
0.171000,2.132350,0.421746,1.710604,2.083767
0.172000,2.144626,0.428014,1.716612,2.076461
0.173000,2.156898,0.434331,1.722568,2.069123
0.174000,2.169167,0.440696,1.728470,2.061753
0.175000,2.181432,0.447112,1.734321,2.054353
0.176000,2.193694,0.453576,1.740119,2.046921
0.177000,2.205953,0.460089,1.745864,2.039459
0.178000,2.218208,0.466651,1.751557,2.031965
0.179000,2.230460,0.473263,1.757197,2.024442
0.180000,2.242708,0.479923,1.762785,2.016887
0.181000,2.254952,0.486633,1.768320,2.009303
0.182000,2.267193,0.493391,1.773802,2.001688
0.183000,2.279430,0.500199,1.779231,1.994043
0.184000,2.291664,0.507056,1.784608,1.986369
0.185000,2.303894,0.513962,1.789932,1.978665
0.186000,2.316121,0.520917,1.795204,1.970931
0.187000,2.328344,0.527921,1.800422,1.963168
0.188000,2.340563,0.534975,1.805588,1.955376
0.189000,2.352778,0.542077,1.810701,1.947555
0.190000,2.364990,0.549229,1.815761,1.939705
0.191000,2.377198,0.556429,1.820769,1.931826
0.192000,2.389402,0.563679,1.825723,1.923919
0.193000,2.401603,0.570978,1.830625,1.915983
0.194000,2.413799,0.578325,1.835474,1.908019
0.195000,2.425992,0.585722,1.840270,1.900027
0.196000,2.438181,0.593168,1.845013,1.892007
0.197000,2.450367,0.600663,1.849703,1.883960
0.198000,2.462548,0.608207,1.854341,1.875885
0.199000,2.474725,0.615800,1.858925,1.867782
0.200000,2.486899,0.623442,1.863457,1.859652
0.201000,2.499068,0.631133,1.867935,1.851495
0.202000,2.511234,0.638873,1.872361,1.843311
0.203000,2.523396,0.646662,1.876734,1.835101
0.204000,2.535554,0.654500,1.881053,1.826863
0.205000,2.547707,0.662387,1.885320,1.818600
0.206000,2.559857,0.670323,1.889534,1.810310
0.207000,2.572003,0.678307,1.893695,1.801993
0.208000,2.584144,0.686341,1.897804,1.793651
0.209000,2.596282,0.694423,1.901859,1.785284
0.210000,2.608415,0.702554,1.905861,1.776890
0.211000,2.620544,0.710734,1.909810,1.768471
0.212000,2.632669,0.718963,1.913707,1.760027
0.213000,2.644790,0.727240,1.917550,1.751557
0.214000,2.656907,0.735566,1.921341,1.743063
0.215000,2.669020,0.743941,1.925079,1.734544
0.216000,2.681128,0.752365,1.928763,1.726000
0.217000,2.693232,0.760837,1.932395,1.717432
0.218000,2.705332,0.769358,1.935974,1.708839
0.219000,2.717428,0.777928,1.939500,1.700222
0.220000,2.729519,0.786546,1.942974,1.691582
0.221000,2.741606,0.795212,1.946394,1.682917
0.222000,2.753689,0.803927,1.949762,1.674229
0.223000,2.765767,0.812691,1.953077,1.665517
0.224000,2.777841,0.821503,1.956339,1.656782
0.225000,2.789911,0.830363,1.959548,1.648024
0.226000,2.801976,0.839272,1.962704,1.639243
0.227000,2.814037,0.848229,1.965808,1.630439
0.228000,2.826093,0.857235,1.968859,1.621612
0.229000,2.838145,0.866288,1.971857,1.612763
0.230000,2.850193,0.875390,1.974803,1.603892
0.231000,2.862236,0.884540,1.977695,1.594998
0.232000,2.874274,0.893738,1.980535,1.586083
0.233000,2.886308,0.902985,1.983323,1.577145
0.234000,2.898337,0.912279,1.986058,1.568187
0.235000,2.910362,0.921622,1.988740,1.559206
0.236000,2.922382,0.931012,1.991370,1.550204
0.237000,2.934397,0.940450,1.993947,1.541182
0.238000,2.946408,0.949937,1.996471,1.532138
0.239000,2.958414,0.959471,1.998943,1.523073
0.240000,2.970416,0.969053,2.001363,1.513988
0.241000,2.982413,0.978682,2.003730,1.504882
0.242000,2.994405,0.988360,2.006045,1.495756
0.243000,3.006392,0.998085,2.008307,1.486610
0.244000,3.018375,1.007857,2.010517,1.477444
0.245000,3.030353,1.017678,2.012675,1.468258
0.246000,3.042326,1.027545,2.014780,1.459053
0.247000,3.054294,1.037461,2.016833,1.449828
0.248000,3.066258,1.047423,2.018834,1.440584
0.249000,3.078216,1.057433,2.020783,1.431321
0.250000,3.090170,1.067490,2.022679,1.422039
0.251000,3.102119,1.077595,2.024524,1.412738
0.252000,3.114063,1.087747,2.026316,1.403418
0.253000,3.126002,1.097945,2.028056,1.394081
0.254000,3.137936,1.108191,2.029745,1.384724
0.255000,3.149865,1.118484,2.031381,1.375350
0.256000,3.161789,1.128824,2.032965,1.365958
0.257000,3.173709,1.139211,2.034498,1.356548
0.258000,3.185623,1.149645,2.035978,1.347121
0.259000,3.197532,1.160125,2.037407,1.337676
0.260000,3.209436,1.170652,2.038784,1.328214
0.261000,3.221335,1.181226,2.040109,1.318735
0.262000,3.233229,1.191847,2.041383,1.309239
0.263000,3.245118,1.202513,2.042605,1.299727
0.264000,3.257002,1.213227,2.043775,1.290198
0.265000,3.268880,1.223987,2.044894,1.280652
0.266000,3.280754,1.234793,2.045961,1.271091
0.267000,3.292622,1.245645,2.046977,1.261513
0.268000,3.304485,1.256544,2.047941,1.251919
0.269000,3.316343,1.267489,2.048854,1.242310
0.270000,3.328195,1.278480,2.049716,1.232686
0.271000,3.340043,1.289516,2.050526,1.223046
0.272000,3.351885,1.300599,2.051286,1.213390
0.273000,3.363722,1.311728,2.051994,1.203720
0.274000,3.375553,1.322902,2.052651,1.194035
0.275000,3.387379,1.334122,2.053257,1.184336
0.276000,3.399200,1.345388,2.053812,1.174622
0.277000,3.411015,1.356699,2.054316,1.164894
0.278000,3.422825,1.368056,2.054769,1.155151
0.279000,3.434630,1.379458,2.055172,1.145395
0.280000,3.446429,1.390906,2.055524,1.135625
0.281000,3.458223,1.402398,2.055825,1.125841
0.282000,3.470011,1.413936,2.056075,1.116044
0.283000,3.481794,1.425519,2.056275,1.106233
0.284000,3.493571,1.437148,2.056424,1.096410
0.285000,3.505343,1.448821,2.056523,1.086573
0.286000,3.517109,1.460538,2.056571,1.076724
0.287000,3.528870,1.472301,2.056569,1.066862
0.288000,3.540625,1.484108,2.056517,1.056988
0.289000,3.552375,1.495960,2.056414,1.047102
0.290000,3.564119,1.507857,2.056262,1.037204
0.291000,3.575857,1.519798,2.056059,1.027293
0.292000,3.587590,1.531783,2.055807,1.017371
0.293000,3.599317,1.543813,2.055504,1.007438
0.294000,3.611038,1.555887,2.055152,0.997493
0.295000,3.622754,1.568004,2.054749,0.987537
0.296000,3.634464,1.580166,2.054297,0.977570
0.297000,3.646168,1.592372,2.053796,0.967592
0.298000,3.657866,1.604622,2.053244,0.957604
0.299000,3.669559,1.616915,2.052644,0.947605
0.300000,3.681246,1.629252,2.051993,0.937595
0.301000,3.692927,1.641633,2.051294,0.927576
0.302000,3.704602,1.654057,2.050545,0.917546
0.303000,3.716271,1.666524,2.049747,0.907507
0.304000,3.727934,1.679035,2.048900,0.897458
0.305000,3.739592,1.691589,2.048003,0.887400
0.306000,3.751244,1.704186,2.047058,0.877332
0.307000,3.762889,1.716826,2.046064,0.867255
0.308000,3.774529,1.729509,2.045021,0.857169
0.309000,3.786163,1.742234,2.043929,0.847075
0.310000,3.797791,1.755003,2.042788,0.836972
0.311000,3.809413,1.767814,2.041599,0.826860
0.312000,3.821029,1.780667,2.040361,0.816741
0.313000,3.832638,1.793563,2.039075,0.806613
0.314000,3.844242,1.806501,2.037741,0.796477
0.315000,3.855840,1.819482,2.036358,0.786333
0.316000,3.867432,1.832504,2.034927,0.776182
0.317000,3.879017,1.845569,2.033448,0.766024
0.318000,3.890596,1.858675,2.031921,0.755858
0.319000,3.902170,1.871824,2.030346,0.745685
0.320000,3.913737,1.885014,2.028723,0.735506
0.321000,3.925298,1.898245,2.027052,0.725319
0.322000,3.936852,1.911518,2.025334,0.715126
0.323000,3.948401,1.924833,2.023568,0.704927
0.324000,3.959943,1.938188,2.021755,0.694722
0.325000,3.971479,1.951585,2.019894,0.684510
0.326000,3.983009,1.965023,2.017986,0.674293
0.327000,3.994532,1.978502,2.016030,0.664070
0.328000,4.006049,1.992021,2.014028,0.653841
0.329000,4.017560,2.005582,2.011978,0.643607
0.330000,4.029064,2.019183,2.009882,0.633368
0.331000,4.040562,2.032824,2.007738,0.623124
0.332000,4.052054,2.046506,2.005548,0.612875
0.333000,4.063539,2.060228,2.003311,0.602622
0.334000,4.075018,2.073991,2.001028,0.592364
0.335000,4.086491,2.087793,1.998698,0.582101
0.336000,4.097957,2.101635,1.996321,0.571835
0.337000,4.109416,2.115518,1.993899,0.561564
0.338000,4.120869,2.129439,1.991430,0.551290
0.339000,4.132316,2.143401,1.988915,0.541012
0.340000,4.143756,2.157402,1.986354,0.530730
0.341000,4.155189,2.171442,1.983747,0.520446
0.342000,4.166616,2.185522,1.981095,0.510158
0.343000,4.178036,2.199640,1.978396,0.499867
0.344000,4.189450,2.213798,1.975652,0.489573
0.345000,4.200857,2.227994,1.972863,0.479277
0.346000,4.212258,2.242230,1.970028,0.468978
0.347000,4.223652,2.256504,1.967148,0.458677
0.348000,4.235039,2.270816,1.964223,0.448374
0.349000,4.246419,2.285167,1.961252,0.438068
0.350000,4.257793,2.299556,1.958237,0.427761
0.351000,4.269160,2.313983,1.955177,0.417453
0.352000,4.280520,2.328448,1.952072,0.407143
0.353000,4.291874,2.342952,1.948922,0.396831
0.354000,4.303221,2.357492,1.945728,0.386519
0.355000,4.314560,2.372071,1.942489,0.376205
0.356000,4.325894,2.386687,1.939207,0.365891
0.357000,4.337220,2.401341,1.935879,0.355576
0.358000,4.348539,2.416031,1.932508,0.345261
0.359000,4.359852,2.430759,1.929093,0.334945
0.360000,4.371158,2.445524,1.925634,0.324630
0.361000,4.382456,2.460326,1.922131,0.314314
0.362000,4.393748,2.475164,1.918584,0.303998
0.363000,4.405033,2.490040,1.914994,0.293683
0.364000,4.416311,2.504951,1.911360,0.283369
0.365000,4.427582,2.519899,1.907683,0.273055
0.366000,4.438846,2.534883,1.903963,0.262742
0.367000,4.450103,2.549904,1.900200,0.252430
0.368000,4.461353,2.564960,1.896393,0.242119
0.369000,4.472596,2.580052,1.892544,0.231809
0.370000,4.483832,2.595180,1.888652,0.221501
0.371000,4.495061,2.610343,1.884718,0.211195
0.372000,4.506283,2.625542,1.880741,0.200891
0.373000,4.517497,2.640776,1.876721,0.190588
0.374000,4.528705,2.656045,1.872660,0.180288
0.375000,4.539905,2.671349,1.868556,0.169990
0.376000,4.551098,2.686688,1.864410,0.159695
0.377000,4.562284,2.702062,1.860222,0.149402
0.378000,4.573463,2.717471,1.855992,0.139112
0.379000,4.584634,2.732914,1.851721,0.128825
0.380000,4.595799,2.748391,1.847408,0.118541
0.381000,4.606956,2.763902,1.843053,0.108261
0.382000,4.618105,2.779448,1.838658,0.097984
0.383000,4.629248,2.795027,1.834221,0.087711
0.384000,4.640383,2.810640,1.829743,0.077441
0.385000,4.651511,2.826287,1.825224,0.067175
0.386000,4.662631,2.841967,1.820664,0.056914
0.387000,4.673744,2.857680,1.816064,0.046657
0.388000,4.684850,2.873427,1.811423,0.036404
0.389000,4.695948,2.889207,1.806742,0.026156
0.390000,4.707039,2.905019,1.802020,0.015912
0.391000,4.718123,2.920865,1.797258,0.005674
0.392000,4.729199,2.936743,1.792456,-0.004560
0.393000,4.740267,2.952653,1.787614,-0.014788
0.394000,4.751328,2.968596,1.782733,-0.025011
0.395000,4.762382,2.984571,1.777811,-0.035228
0.396000,4.773428,3.000578,1.772850,-0.045440
0.397000,4.784467,3.016617,1.767850,-0.055646
0.398000,4.795498,3.032687,1.762810,-0.065845
0.399000,4.806521,3.048789,1.757732,-0.076039
0.400000,4.817537,3.064923,1.752614,-0.086226
0.401000,4.828545,3.081088,1.747457,-0.096407
0.402000,4.839545,3.097284,1.742262,-0.106581
0.403000,4.850538,3.113511,1.737028,-0.116748
0.404000,4.861524,3.129768,1.731755,-0.126909
0.405000,4.872501,3.146057,1.726444,-0.137062
0.406000,4.883471,3.162376,1.721095,-0.147208
0.407000,4.894433,3.178725,1.715708,-0.157346
0.408000,4.905388,3.195105,1.710283,-0.167477
0.409000,4.916334,3.211514,1.704820,-0.177601
0.410000,4.927273,3.227954,1.699320,-0.187716
0.411000,4.938205,3.244423,1.693781,-0.197823
0.412000,4.949128,3.260922,1.688206,-0.207922
0.413000,4.960043,3.277450,1.682593,-0.218013
0.414000,4.970951,3.294008,1.676943,-0.228095
0.415000,4.981851,3.310595,1.671256,-0.238169
0.416000,4.992743,3.327211,1.665533,-0.248234
0.417000,5.003627,3.343855,1.659772,-0.258290
0.418000,5.014503,3.360528,1.653975,-0.268337
0.419000,5.025372,3.377230,1.648142,-0.278374
0.420000,5.036232,3.393960,1.642272,-0.288402
0.421000,5.047084,3.410719,1.636366,-0.298421
0.422000,5.057929,3.427505,1.630424,-0.308430
0.423000,5.068765,3.444319,1.624446,-0.318429
0.424000,5.079594,3.461161,1.618433,-0.328418
0.425000,5.090414,3.478030,1.612384,-0.338397
0.426000,5.101227,3.494927,1.606299,-0.348365
0.427000,5.112031,3.511851,1.600179,-0.358324
0.428000,5.122827,3.528803,1.594024,-0.368271
0.429000,5.133615,3.545781,1.587835,-0.378208
0.430000,5.144395,3.562786,1.581610,-0.388134
0.431000,5.155167,3.579817,1.575350,-0.398049
0.432000,5.165931,3.596875,1.569056,-0.407952
0.433000,5.176687,3.613959,1.562728,-0.417845
0.434000,5.187434,3.631069,1.556365,-0.427725
0.435000,5.198173,3.648205,1.549968,-0.437595
0.436000,5.208904,3.665367,1.543537,-0.447452
0.437000,5.219627,3.682555,1.537072,-0.457298
0.438000,5.230342,3.699768,1.530574,-0.467131
0.439000,5.241048,3.717006,1.524042,-0.476952
0.440000,5.251746,3.734270,1.517477,-0.486761
0.441000,5.262436,3.751558,1.510878,-0.496558
0.442000,5.273118,3.768871,1.504246,-0.506342
0.443000,5.283791,3.786209,1.497582,-0.516113
0.444000,5.294455,3.803571,1.490884,-0.525871
0.445000,5.305112,3.820957,1.484154,-0.535616
0.446000,5.315760,3.838368,1.477392,-0.545348
0.447000,5.326400,3.855803,1.470597,-0.555066
0.448000,5.337031,3.873261,1.463770,-0.564771
0.449000,5.347654,3.890743,1.456911,-0.574463
0.450000,5.358268,3.908248,1.450020,-0.584140
0.451000,5.368874,3.925777,1.443097,-0.593804
0.452000,5.379471,3.943329,1.436143,-0.603454
0.453000,5.390060,3.960903,1.429157,-0.613089
0.454000,5.400641,3.978501,1.422140,-0.622710
0.455000,5.411213,3.996121,1.415092,-0.632317
0.456000,5.421776,4.013763,1.408013,-0.641909
0.457000,5.432331,4.031428,1.400903,-0.651486
0.458000,5.442877,4.049115,1.393762,-0.661049
0.459000,5.453414,4.066823,1.386591,-0.670596
0.460000,5.463943,4.084554,1.379390,-0.680129
0.461000,5.474464,4.102306,1.372158,-0.689646
0.462000,5.484976,4.120079,1.364897,-0.699147
0.463000,5.495479,4.137874,1.357605,-0.708633
0.464000,5.505973,4.155689,1.350284,-0.718104
0.465000,5.516459,4.173526,1.342933,-0.727558
0.466000,5.526936,4.191383,1.335553,-0.736997
0.467000,5.537404,4.209261,1.328143,-0.746419
0.468000,5.547863,4.227159,1.320705,-0.755826
0.469000,5.558314,4.245077,1.313237,-0.765216
0.470000,5.568756,4.263015,1.305741,-0.774589
0.471000,5.579189,4.280973,1.298216,-0.783946
0.472000,5.589614,4.298951,1.290663,-0.793286
0.473000,5.600029,4.316948,1.283081,-0.802609
0.474000,5.610436,4.334965,1.275471,-0.811915
0.475000,5.620834,4.353000,1.267833,-0.821204
0.476000,5.631223,4.371055,1.260168,-0.830476
0.477000,5.641603,4.389128,1.252474,-0.839730
0.478000,5.651974,4.407220,1.244754,-0.848967
0.479000,5.662336,4.425331,1.237005,-0.858186
0.480000,5.672689,4.443459,1.229230,-0.867387
0.481000,5.683034,4.461606,1.221428,-0.876571
0.482000,5.693369,4.479771,1.213599,-0.885736
0.483000,5.703696,4.497953,1.205743,-0.894883
0.484000,5.714013,4.516153,1.197860,-0.904012
0.485000,5.724321,4.534370,1.189951,-0.913122
0.486000,5.734621,4.552604,1.182016,-0.922214
0.487000,5.744911,4.570855,1.174055,-0.931287
0.488000,5.755192,4.589124,1.166068,-0.940342
0.489000,5.765464,4.607408,1.158056,-0.949377
0.490000,5.775727,4.625710,1.150017,-0.958394
0.491000,5.785981,4.644027,1.141954,-0.967391
0.492000,5.796226,4.662361,1.133865,-0.976369
0.493000,5.806461,4.680710,1.125751,-0.985327
0.494000,5.816688,4.699076,1.117612,-0.994266
0.495000,5.826905,4.717456,1.109448,-1.003186
0.496000,5.837113,4.735853,1.101260,-1.012085
0.497000,5.847312,4.754264,1.093048,-1.020965
0.498000,5.857501,4.772690,1.084811,-1.029824
0.499000,5.867681,4.791132,1.076550,-1.038664
0.500000,5.877853,4.809587,1.068265,-1.047483
0.501000,5.888014,4.828058,1.059956,-1.056282
0.502000,5.898167,4.846542,1.051624,-1.065060
0.503000,5.908310,4.865041,1.043269,-1.073818
0.504000,5.918444,4.883554,1.034890,-1.082554
0.505000,5.928568,4.902080,1.026488,-1.091271
0.506000,5.938683,4.920620,1.018063,-1.099966
0.507000,5.948789,4.939174,1.009615,-1.108640
0.508000,5.958885,4.957740,1.001145,-1.117292
0.509000,5.968972,4.976320,0.992652,-1.125924
0.510000,5.979050,4.994912,0.984138,-1.134534
0.511000,5.989118,5.013517,0.975601,-1.143122
0.512000,5.999177,5.032135,0.967042,-1.151689
0.513000,6.009226,5.050765,0.958461,-1.160234
0.514000,6.019265,5.069406,0.949859,-1.168757
0.515000,6.029295,5.088060,0.941235,-1.177259
0.516000,6.039316,5.106726,0.932590,-1.185738
0.517000,6.049327,5.125403,0.923924,-1.194194
0.518000,6.059329,5.144091,0.915237,-1.202629
0.519000,6.069321,5.162791,0.906530,-1.211041
0.520000,6.079303,5.181501,0.897802,-1.219430
0.521000,6.089276,5.200223,0.889053,-1.227797
0.522000,6.099239,5.218955,0.880284,-1.236141
0.523000,6.109192,5.237697,0.871495,-1.244462
0.524000,6.119136,5.256450,0.862686,-1.252760
0.525000,6.129071,5.275213,0.853858,-1.261035
0.526000,6.138995,5.293985,0.845010,-1.269287
0.527000,6.148910,5.312768,0.836142,-1.277516
0.528000,6.158815,5.331560,0.827255,-1.285721
0.529000,6.168710,5.350361,0.818350,-1.293902
0.530000,6.178596,5.369171,0.809425,-1.302060
0.531000,6.188472,5.387991,0.800481,-1.310194
0.532000,6.198338,5.406819,0.791520,-1.318305
0.533000,6.208195,5.425655,0.782539,-1.326391
0.534000,6.218041,5.444500,0.773541,-1.334453
0.535000,6.227878,5.463354,0.764524,-1.342492
0.536000,6.237705,5.482215,0.755490,-1.350506
0.537000,6.247522,5.501084,0.746438,-1.358495
0.538000,6.257329,5.519961,0.737368,-1.366460
0.539000,6.267126,5.538845,0.728281,-1.374401
0.540000,6.276914,5.557737,0.719177,-1.382317
0.541000,6.286691,5.576635,0.710056,-1.390208
0.542000,6.296459,5.595541,0.700918,-1.398074
0.543000,6.306216,5.614453,0.691763,-1.405916
0.544000,6.315964,5.633372,0.682592,-1.413732
0.545000,6.325702,5.652297,0.673405,-1.421523
0.546000,6.335429,5.671228,0.664201,-1.429289
0.547000,6.345147,5.690166,0.654981,-1.437029
0.548000,6.354855,5.709109,0.645746,-1.444745
0.549000,6.364552,5.728057,0.636495,-1.452434
0.550000,6.374240,5.747011,0.627228,-1.460098
0.551000,6.383917,5.765971,0.617947,-1.467736
